ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
BREAKFAST CEREALS,CLEANERS - FLOOR,4.90%,4.20%,0.30%,8.10%,7.00%
BREAKFAST CEREALS,CONFECTIONERY - TOFFEE/HBC,4.90%,4.20%,0.30%,6.30%,5.40%
BREAKFAST CEREALS,DETERGENT CAKES/BARS,4.90%,4.90%,0.30%,6.10%,6.00%
BREAKFAST CEREALS,PACKAGED PURE GHEE,4.90%,4.90%,0.30%,6.70%,6.70%
BUTTER MARGR  (4/94),CONFECTIONERY - TOFFEE/HBC,7.80%,4.20%,0.30%,6.70%,3.60%
BUTTER MARGR  (4/94),SCOURING PADS/SCRUBS,7.80%,1.70%,0.30%,19.80%,4.20%
BUTTER MARGR  (4/94),SQSH CRDLS & SFT DRNK-CONVERTD,7.80%,1.90%,0.30%,15.80%,3.80%
CHEESE        (4/94),COFFEE,3.70%,2.50%,0.30%,11.90%,7.90%
CHEESE        (4/94),CONFECTIONERY - TOFFEE/HBC,3.70%,4.20%,0.30%,6.30%,7.10%
CHEESE        (4/94),PRE-POST WASH PRODUCTS,3.70%,3.30%,0.30%,9.80%,8.80%
CHEESE        (4/94),READY TO EAT,3.70%,3.90%,0.30%,7.60%,7.90%
CHEESE        (4/94),SHAMPOO - BY SEGMENTS,3.70%,4.30%,0.30%,6.10%,7.10%
CHOCOLATE,NON-REFINED OILS   (9/93),18.00%,1.70%,0.30%,18.30%,1.70%
CHOCOLATE,TALCUM POWDERS,18.00%,1.70%,0.30%,20.20%,1.90%
CLEANERS - FLOOR,COFFEE,4.20%,2.50%,0.30%,13.10%,7.70%
CLEANERS - FLOOR,CONFECTIONERY - TOFFEE/HBC,4.20%,4.20%,0.30%,6.70%,6.60%
CLEANERS - FLOOR,PACKAGED PURE GHEE,4.20%,4.90%,0.30%,5.80%,6.60%
CLEANERS - FLOOR,READY TO EAT,4.20%,3.90%,0.30%,6.80%,6.30%
CLEANERS - FLOOR,SCOURING PADS/SCRUBS,4.20%,1.70%,0.30%,20.80%,8.10%
CLEANERS - FLOOR,SHAMPOO - BY SEGMENTS,4.20%,4.30%,0.30%,6.90%,7.00%
CLEANERS - TOILET,KETCHUPS/SAUCES,2.60%,5.00%,0.30%,5.60%,11.00%
CLEANERS - TOILET,LIQUID TOILET SOAPS  (8/93),2.60%,2.30%,0.30%,13.00%,11.60%
CLEANERS - TOILET,PACKAGED PURE GHEE,2.60%,4.90%,0.30%,6.40%,12.20%
CLEANERS - UTENSIL,DIAPERS       (8/93),9.10%,2.40%,0.30%,11.90%,3.10%
CLEANERS - UTENSIL,HOME INSECTICIDES CTG  (8/93),9.10%,1.80%,0.30%,15.70%,3.10%
CLEANERS - UTENSIL,MOSQUITO REPELLANTS CTG (8/93),9.10%,1.90%,0.30%,15.00%,3.10%
CLEANERS - UTENSIL,SQSH CRDLS & SFT DRNK-CONVERTD,9.10%,1.90%,0.30%,17.50%,3.60%
CLEANERS - UTENSIL,TALCUM POWDERS,9.10%,1.70%,0.30%,19.30%,3.60%
CLEANERS - UTENSIL,TOOTH BRUSH   (7/93),9.10%,1.60%,0.30%,17.60%,3.10%
COCONUT OIL PKTYP (08/02),HAIR OILS PKTP(8/02),4.20%,3.00%,0.30%,9.80%,7.00%
COCONUT OIL PKTYP (08/02),SKIN CREAMS,4.20%,4.00%,0.30%,8.30%,7.70%
COCONUT OIL PKTYP (08/02),TALCUM POWDERS,4.20%,1.70%,0.30%,20.20%,8.10%
COFFEE,PACKAGED ATTA (1/95),2.50%,8.70%,0.30%,3.40%,11.90%
COFFEE,PACKAGED PURE GHEE,2.50%,4.90%,0.30%,5.80%,11.20%
CONFECTIONERY - ECLAIRS,TOILET SOAPS (04/00),1.10%,11.80%,0.30%,2.40%,25.40%
CONFECTIONERY - TOFFEE/HBC,KETCHUPS/SAUCES,4.20%,5.00%,0.30%,5.30%,6.30%
CONFECTIONERY - TOFFEE/HBC,SHAMPOO - BY SEGMENTS,4.20%,4.30%,0.30%,6.10%,6.30%
DETERGENT CAKES/BARS,HAIR DYES     (1/76),4.90%,3.00%,0.30%,9.40%,5.80%
DETERGENT CAKES/BARS,JAMS/JELLY/MARMALADES-CTG,4.90%,1.70%,0.30%,18.70%,6.40%
DETERGENT CAKES/BARS,SKIN CREAMS,4.90%,4.00%,0.30%,8.70%,7.00%
DIAPERS       (8/93),PACKAGED TEA,2.40%,13.30%,0.30%,2.10%,11.90%
DIAPERS       (8/93),REFINED EDIBLE OILS-ALL PACKS,2.40%,12.40%,0.30%,2.50%,13.20%
DIAPERS       (8/93),SPICES (03/04),2.40%,15.40%,0.30%,2.10%,13.90%
DIAPERS       (8/93),TOILET SOAPS (04/00),2.40%,11.80%,0.30%,2.50%,12.60%
DIAPERS       (8/93),WASHING POWDERS/LIQUIDS,2.40%,14.40%,0.30%,2.30%,13.90%
"FRAGRANCE-PERFUM,DEO & COLOGNE",PACKAGED TEA,1.70%,13.30%,0.30%,2.60%,20.00%
"FRAGRANCE-PERFUM,DEO & COLOGNE",SPICES (03/04),1.70%,15.40%,0.30%,2.10%,19.10%
"FRAGRANCE-PERFUM,DEO & COLOGNE",TOOTH PASTES,1.70%,9.10%,0.30%,3.60%,19.10%
GLUCOSE POWDER & TABLET,SALTY SNACKS (2/97),0.90%,20.10%,0.30%,1.50%,34.50%
HAIR DYES     (1/76),PACKAGED ATTA (1/95),3.00%,8.70%,0.30%,3.60%,10.50%
HAIR OILS PKTP(8/02),PACKAGED ATTA (1/95),3.00%,8.70%,0.30%,3.60%,10.40%
HAIR OILS PKTP(8/02),TALCUM POWDERS,3.00%,1.70%,0.30%,17.40%,9.80%
HOME INSECTICIDES CTG  (8/93),REFINED EDIBLE OILS-ALL PACKS,1.80%,12.40%,0.30%,2.80%,19.10%
HOME INSECTICIDES CTG  (8/93),TOILET SOAPS (04/00),1.80%,11.80%,0.30%,2.80%,18.30%
HOME INSECTICIDES CTG  (8/93),TOOTH PASTES,1.80%,9.10%,0.30%,2.90%,14.80%
JAMS/JELLY/MARMALADES-CTG,PACKAGED ATTA (1/95),1.70%,8.70%,0.30%,3.40%,17.80%
JAMS/JELLY/MARMALADES-CTG,REFINED EDIBLE OILS-ALL PACKS,1.70%,12.40%,0.30%,2.80%,20.60%
JAMS/JELLY/MARMALADES-CTG,TOOTH PASTES,1.70%,9.10%,0.30%,3.80%,20.60%
KETCHUPS/SAUCES,READY TO EAT,5.00%,3.90%,0.30%,8.80%,6.80%
KETCHUPS/SAUCES,SHAMPOO - BY SEGMENTS,5.00%,4.30%,0.30%,6.50%,5.60%
LIQUID TOILET SOAPS  (8/93),PACKAGED ATTA (1/95),2.30%,8.70%,0.30%,3.90%,15.10%
LIQUID TOILET SOAPS  (8/93),PRE-POST WASH PRODUCTS,2.30%,3.30%,0.30%,9.80%,14.40%
MILK POWDERS,PACKAGED ATTA (1/95),1.70%,8.70%,0.30%,3.00%,15.70%
MILK POWDERS,SALTY SNACKS (2/97),1.70%,20.10%,0.30%,1.50%,18.50%
MOSQUITO REPELLANTS CTG (8/93),TOOTH PASTES,1.90%,9.10%,0.30%,3.60%,17.50%
MOSQUITO REPELLANTS CTG (8/93),VERMICELLI & NOODLE,1.90%,17.20%,0.30%,1.50%,14.20%
NON-REFINED OILS   (9/93),PACKAGED PURE GHEE,1.70%,4.90%,0.30%,6.10%,17.40%
NON-REFINED OILS   (9/93),SPICES (03/04),1.70%,15.40%,0.30%,2.20%,20.20%
NON-REFINED OILS   (9/93),TOOTH PASTES,1.70%,9.10%,0.30%,3.40%,18.30%
NON-REFINED OILS   (9/93),VERMICELLI & NOODLE,1.70%,17.20%,0.30%,1.80%,18.30%
PACKAGED ATTA (1/95),READY TO EAT,8.70%,3.90%,0.30%,8.80%,3.90%
PACKAGED ATTA (1/95),SANITARY NAPKINS,8.70%,2.90%,0.30%,11.80%,3.90%
PACKAGED ATTA (1/95),SCOURING PADS/SCRUBS,8.70%,1.70%,0.30%,17.00%,3.20%
PACKAGED ATTA (1/95),SQSH CRDLS & SFT DRNK-CONVERTD,8.70%,1.90%,0.30%,14.20%,3.00%
PACKAGED ATTA (1/95),TALCUM POWDERS,8.70%,1.70%,0.30%,15.60%,3.00%
PACKAGED PURE GHEE,READY TO EAT,4.90%,3.90%,0.30%,8.80%,7.00%
PACKAGED PURE GHEE,SHAMPOO - BY SEGMENTS,4.90%,4.30%,0.30%,6.10%,5.40%
PACKAGED PURE GHEE,SKIN CREAMS,4.90%,4.00%,0.30%,7.90%,6.40%
PACKAGED RICE (1/95),PACKAGED TEA,1.20%,13.30%,0.30%,2.30%,26.70%
PACKAGED RICE (1/95),SALTY SNACKS (2/97),1.20%,20.10%,0.30%,1.50%,25.30%
PACKAGED RICE (1/95),VERMICELLI & NOODLE,1.20%,17.20%,0.30%,1.90%,28.00%
PACKAGED RICE (1/95),WASHING POWDERS/LIQUIDS,1.20%,14.40%,0.30%,2.30%,28.00%
PACKAGED TEA,SOAP CAKES/BARS,13.30%,0.80%,0.30%,34.00%,2.00%
PRE-POST WASH PRODUCTS,SHAMPOO - BY SEGMENTS,3.30%,4.30%,0.30%,7.60%,9.80%
PRICKLY HEAT POWDER,SALTY SNACKS (2/97),0.80%,20.10%,0.30%,1.30%,32.70%
PRICKLY HEAT POWDER,SPICES (03/04),0.80%,15.40%,0.30%,1.80%,34.60%
PRICKLY HEAT POWDER,TOILET SOAPS (04/00),0.80%,11.80%,0.30%,2.80%,40.40%
PRICKLY HEAT POWDER,TOOTH PASTES,0.80%,9.10%,0.30%,2.90%,32.70%
PRICKLY HEAT POWDER,WASHING POWDERS/LIQUIDS,0.80%,14.40%,0.30%,1.90%,34.60%
READY TO EAT,SKIN CREAMS,3.90%,4.00%,0.30%,7.50%,7.60%
REFINED EDIBLE OILS-ALL PACKS,SANITARY NAPKINS,12.40%,2.90%,0.30%,11.30%,2.60%
REFINED EDIBLE OILS-ALL PACKS,SOAP CAKES/BARS,12.40%,0.80%,0.30%,38.00%,2.40%
REFINED EDIBLE OILS-ALL PACKS,SQSH CRDLS & SFT DRNK-CONVERTD,12.40%,1.90%,0.30%,17.50%,2.60%
REFINED EDIBLE OILS-ALL PACKS,TALCUM POWDERS,12.40%,1.70%,0.30%,17.40%,2.40%
SALTY SNACKS (2/97),SOAP CAKES/BARS,20.10%,0.80%,0.30%,38.00%,1.50%
SALTY SNACKS (2/97),TOOTH BRUSH   (7/93),20.10%,1.60%,0.30%,20.60%,1.60%
SOAP CAKES/BARS,TOILET SOAPS (04/00),0.80%,11.80%,0.30%,2.60%,40.00%
SOAP CAKES/BARS,WASHING POWDERS/LIQUIDS,0.80%,14.40%,0.30%,2.40%,44.00%
SPICES (03/04),VANASPATI CONS PACK (8/94),15.40%,1.00%,0.30%,26.60%,1.70%
SQSH CRDLS & SFT DRNK-CONVERTD,TOOTH PASTES,1.90%,9.10%,0.30%,3.60%,17.50%
TALCUM POWDERS,VERMICELLI & NOODLE,1.70%,17.20%,0.30%,1.90%,19.30%
TOILET SOAPS (04/00),VANASPATI CONS PACK (8/94),11.80%,1.00%,0.30%,26.60%,2.20%
AGARBATTI & DHOOPBATTI,BUTTER MARGR  (4/94),1.80%,7.80%,0.20%,2.20%,9.60%
AGARBATTI & DHOOPBATTI,CLEANERS - UTENSIL,1.80%,9.10%,0.20%,2.70%,14.00%
AGARBATTI & DHOOPBATTI,COCONUT OIL PKTYP (08/02),1.80%,4.20%,0.20%,3.70%,8.80%
AGARBATTI & DHOOPBATTI,DETERGENT CAKES/BARS,1.80%,4.90%,0.20%,4.20%,11.40%
AGARBATTI & DHOOPBATTI,PACKAGED ATTA (1/95),1.80%,8.70%,0.20%,2.10%,10.50%
AGARBATTI & DHOOPBATTI,PACKAGED PURE GHEE,1.80%,4.90%,0.20%,3.80%,10.50%
AGARBATTI & DHOOPBATTI,SKIN CREAMS,1.80%,4.00%,0.20%,4.70%,10.50%
ALL AIR FRESHNERS(01/03),ALL IODISED SALT,1.20%,6.80%,0.20%,3.00%,16.70%
ALL AIR FRESHNERS(01/03),CHEESE        (4/94),1.20%,3.70%,0.20%,4.20%,12.80%
ALL AIR FRESHNERS(01/03),CLEANERS - FLOOR,1.20%,4.20%,0.20%,5.20%,17.90%
ALL AIR FRESHNERS(01/03),CLEANERS - TOILET,1.20%,2.60%,0.20%,9.10%,19.20%
ALL AIR FRESHNERS(01/03),PACKAGED ATTA (1/95),1.20%,8.70%,0.20%,1.80%,12.80%
ALL AIR FRESHNERS(01/03),PRE-POST WASH PRODUCTS,1.20%,3.30%,0.20%,5.60%,15.40%
ALL AIR FRESHNERS(01/03),REFINED EDIBLE OILS-ALL PACKS,1.20%,12.40%,0.20%,1.90%,19.20%
ALL IODISED SALT,BATTERIES,6.80%,1.90%,0.20%,8.90%,2.50%
ALL IODISED SALT,HAIR OILS PKTP(8/02),6.80%,3.00%,0.20%,8.30%,3.70%
ALL IODISED SALT,HOME INSECTICIDES CTG  (8/93),6.80%,1.80%,0.20%,9.60%,2.50%
ALL IODISED SALT,JAMS/JELLY/MARMALADES-CTG,6.80%,1.70%,0.20%,15.00%,3.70%
ALL IODISED SALT,LIQUID TOILET SOAPS  (8/93),6.80%,2.30%,0.20%,10.30%,3.40%
ALL IODISED SALT,NON-REFINED OILS   (9/93),6.80%,1.70%,0.20%,12.80%,3.20%
ALL IODISED SALT,PACKAGED RICE (1/95),6.80%,1.20%,0.20%,18.70%,3.20%
ALL IODISED SALT,SANITARY NAPKINS,6.80%,2.90%,0.20%,7.00%,3.00%
ALL IODISED SALT,SQSH CRDLS & SFT DRNK-CONVERTD,6.80%,1.90%,0.20%,10.00%,2.70%
ALL IODISED SALT,TALCUM POWDERS,6.80%,1.70%,0.20%,13.80%,3.40%
ALL IODISED SALT,TOOTH BRUSH   (7/93),6.80%,1.60%,0.20%,11.80%,2.70%
ANTACIDS,CHOCOLATE,1.00%,18.00%,0.20%,1.00%,19.40%
ANTACIDS,REFINED EDIBLE OILS-ALL PACKS,1.00%,12.40%,0.20%,1.30%,16.10%
ANTACIDS,SPICES (03/04),1.00%,15.40%,0.20%,1.30%,21.00%
ANTISEPTIC LIQUIDS (4/97),CHOCOLATE,1.10%,18.00%,0.20%,1.20%,20.60%
ANTISEPTIC LIQUIDS (4/97),CLEANERS - FLOOR,1.10%,4.20%,0.20%,3.70%,14.70%
ANTISEPTIC LIQUIDS (4/97),PRE-POST WASH PRODUCTS,1.10%,3.30%,0.20%,5.60%,17.60%
ANTISEPTIC LIQUIDS (4/97),REFINED EDIBLE OILS-ALL PACKS,1.10%,12.40%,0.20%,1.60%,19.10%
ANTISEPTIC LIQUIDS (4/97),TOILET SOAPS (04/00),1.10%,11.80%,0.20%,1.40%,16.20%
ANTISEPTIC LIQUIDS (4/97),VERMICELLI & NOODLE,1.10%,17.20%,0.20%,1.40%,22.10%
BATTERIES,BUTTER MARGR  (4/94),1.90%,7.80%,0.20%,3.20%,12.90%
BATTERIES,CLEANERS - FLOOR,1.90%,4.20%,0.20%,4.40%,9.70%
BATTERIES,DETERGENT CAKES/BARS,1.90%,4.90%,0.20%,3.50%,8.90%
BATTERIES,PACKAGED PURE GHEE,1.90%,4.90%,0.20%,3.20%,8.10%
BATTERIES,SPICES (03/04),1.90%,15.40%,0.20%,1.50%,12.10%
BEVERAGES,CHEESE        (4/94),2.90%,3.70%,0.20%,5.00%,6.50%
BEVERAGES,CLEANERS - TOILET,2.90%,2.60%,0.20%,6.70%,5.90%
BEVERAGES,DETERGENT CAKES/BARS,2.90%,4.90%,0.20%,4.50%,7.60%
BEVERAGES,HAIR DYES     (1/76),2.90%,3.00%,0.20%,5.20%,5.40%
BEVERAGES,PACKAGED ATTA (1/95),2.90%,8.70%,0.20%,2.10%,6.50%
BEVERAGES,PRE-POST WASH PRODUCTS,2.90%,3.30%,0.20%,4.70%,5.40%
BEVERAGES,READY TO EAT,2.90%,3.90%,0.20%,4.00%,5.40%
BEVERAGES,SANITARY NAPKINS,2.90%,2.90%,0.20%,5.40%,5.40%
BEVERAGES,SHAMPOO - BY SEGMENTS,2.90%,4.30%,0.20%,5.80%,8.60%
BEVERAGES,SKIN CREAMS,2.90%,4.00%,0.20%,5.90%,8.10%
BISCUITS - CORE & NON CORE,BLUES,47.50%,0.30%,0.20%,57.10%,0.40%
BISCUITS - CORE & NON CORE,CLEANERS - GLASS,47.50%,0.40%,0.20%,59.30%,0.50%
BISCUITS - CORE & NON CORE,TOOTH POWDERS,47.50%,0.30%,0.20%,78.90%,0.50%
BISCUITS - CORE & NON CORE,TWIN BLADES,47.50%,0.50%,0.20%,45.70%,0.50%
BREAKFAST CEREALS,CLEANERS - TOILET,4.90%,2.60%,0.20%,7.30%,3.80%
BREAKFAST CEREALS,COCONUT OIL PKTYP (08/02),4.90%,4.20%,0.20%,4.80%,4.10%
BREAKFAST CEREALS,COFFEE,4.90%,2.50%,0.20%,6.30%,3.20%
BREAKFAST CEREALS,HAIR OILS PKTP(8/02),4.90%,3.00%,0.20%,5.70%,3.50%
BREAKFAST CEREALS,LIQUID TOILET SOAPS  (8/93),4.90%,2.30%,0.20%,10.30%,4.80%
BREAKFAST CEREALS,MOSQUITO REPELLANTS CTG (8/93),4.90%,1.90%,0.20%,8.30%,3.20%
BREAKFAST CEREALS,PRE-POST WASH PRODUCTS,4.90%,3.30%,0.20%,5.60%,3.80%
BREAKFAST CEREALS,READY TO EAT,4.90%,3.90%,0.20%,6.00%,4.80%
BREAKFAST CEREALS,SHAMPOO - BY SEGMENTS,4.90%,4.30%,0.20%,4.70%,4.10%
BREAKFAST CEREALS,SKIN CREAMS,4.90%,4.00%,0.20%,5.90%,4.80%
BREAKFAST CEREALS,TOOTH BRUSH   (7/93),4.90%,1.60%,0.20%,9.80%,3.20%
BUTTER MARGR  (4/94),DIAPERS       (8/93),7.80%,2.40%,0.20%,7.90%,2.40%
BUTTER MARGR  (4/94),"FRAGRANCE-PERFUM,DEO & COLOGNE",7.80%,1.70%,0.20%,14.50%,3.20%
BUTTER MARGR  (4/94),HAIR DYES     (1/76),7.80%,3.00%,0.20%,7.90%,3.00%
BUTTER MARGR  (4/94),HAIR OILS PKTP(8/02),7.80%,3.00%,0.20%,7.30%,2.80%
BUTTER MARGR  (4/94),MILK POWDERS,7.80%,1.70%,0.20%,12.00%,2.60%
BUTTER MARGR  (4/94),NON-REFINED OILS   (9/93),7.80%,1.70%,0.20%,11.90%,2.60%
BUTTER MARGR  (4/94),PACKAGED RICE (1/95),7.80%,1.20%,0.20%,16.00%,2.40%
BUTTER MARGR  (4/94),SANITARY NAPKINS,7.80%,2.90%,0.20%,8.60%,3.20%
BUTTER MARGR  (4/94),SOAP CAKES/BARS,7.80%,0.80%,0.20%,20.00%,2.00%
BUTTER MARGR  (4/94),TALCUM POWDERS,7.80%,1.70%,0.20%,10.10%,2.20%
BUTTER MARGR  (4/94),TOOTH BRUSH   (7/93),7.80%,1.60%,0.20%,13.70%,2.80%
BUTTER MARGR  (4/94),VANASPATI CONS PACK (8/94),7.80%,1.00%,0.20%,18.70%,2.40%
CHEESE        (4/94),CLEANERS - TOILET,3.70%,2.60%,0.20%,8.50%,5.80%
CHEESE        (4/94),HAIR DYES     (1/76),3.70%,3.00%,0.20%,7.30%,5.80%
CHEESE        (4/94),JAMS/JELLY/MARMALADES-CTG,3.70%,1.70%,0.20%,15.00%,6.70%
CHEESE        (4/94),LIQUID TOILET SOAPS  (8/93),3.70%,2.30%,0.20%,11.00%,6.70%
CHEESE        (4/94),MILK POWDERS,3.70%,1.70%,0.20%,10.20%,4.60%
CHEESE        (4/94),SANITARY NAPKINS,3.70%,2.90%,0.20%,5.90%,4.60%
CHEESE        (4/94),SKIN CREAMS,3.70%,4.00%,0.20%,6.30%,6.70%
CHEESE        (4/94),SQSH CRDLS & SFT DRNK-CONVERTD,3.70%,1.90%,0.20%,10.80%,5.40%
CHEESE        (4/94),TALCUM POWDERS,3.70%,1.70%,0.20%,9.20%,4.20%
CHOCOLATE,CONFECTIONERY - ECLAIRS,18.00%,1.10%,0.20%,19.70%,1.20%
CHOCOLATE,CONFECTIONERY - LOLLIPOP/FMR,18.00%,0.70%,0.20%,31.80%,1.20%
CHOCOLATE,GLUCOSE POWDER & TABLET,18.00%,0.90%,0.20%,23.60%,1.10%
CHOCOLATE,PACKAGED RICE (1/95),18.00%,1.20%,0.20%,21.30%,1.40%
CHOCOLATE,PRICKLY HEAT POWDER,18.00%,0.80%,0.20%,28.80%,1.30%
CHOCOLATE,SOAP CAKES/BARS,18.00%,0.80%,0.20%,22.00%,1.00%
CHOCOLATE,TWIN BLADES,18.00%,0.50%,0.20%,28.60%,0.90%
CLEANERS - FLOOR,CLEANERS - GLASS,4.20%,0.40%,0.20%,37.00%,3.70%
CLEANERS - FLOOR,HAIR DYES     (1/76),4.20%,3.00%,0.20%,5.20%,3.70%
CLEANERS - FLOOR,JAMS/JELLY/MARMALADES-CTG,4.20%,1.70%,0.20%,15.00%,5.90%
CLEANERS - FLOOR,MOSQUITO REPELLANTS CTG (8/93),4.20%,1.90%,0.20%,11.70%,5.20%
CLEANERS - FLOOR,SANITARY NAPKINS,4.20%,2.90%,0.20%,6.50%,4.40%
CLEANERS - FLOOR,SKIN CREAMS,4.20%,4.00%,0.20%,3.90%,3.70%
CLEANERS - FLOOR,SQSH CRDLS & SFT DRNK-CONVERTD,4.20%,1.90%,0.20%,9.20%,4.10%
CLEANERS - FLOOR,TALCUM POWDERS,4.20%,1.70%,0.20%,11.00%,4.40%
CLEANERS - FLOOR,TOOTH BRUSH   (7/93),4.20%,1.60%,0.20%,9.80%,3.70%
CLEANERS - GLASS,CLEANERS - UTENSIL,0.40%,9.10%,0.20%,1.70%,37.00%
CLEANERS - GLASS,SPICES (03/04),0.40%,15.40%,0.20%,1.20%,44.40%
CLEANERS - GLASS,WASHING POWDERS/LIQUIDS,0.40%,14.40%,0.20%,1.50%,51.80%
CLEANERS - TOILET,COFFEE,2.60%,2.50%,0.20%,8.70%,8.50%
CLEANERS - TOILET,CONFECTIONERY - TOFFEE/HBC,2.60%,4.20%,0.20%,5.60%,9.10%
CLEANERS - TOILET,HAIR DYES     (1/76),2.60%,3.00%,0.20%,5.20%,6.10%
CLEANERS - TOILET,SCOURING PADS/SCRUBS,2.60%,1.70%,0.20%,15.10%,9.80%
CLEANERS - TOILET,SHAMPOO - BY SEGMENTS,2.60%,4.30%,0.20%,5.40%,9.10%
CLEANERS - UTENSIL,"FRAGRANCE-PERFUM,DEO & COLOGNE",9.10%,1.70%,0.20%,14.50%,2.70%
CLEANERS - UTENSIL,JAMS/JELLY/MARMALADES-CTG,9.10%,1.70%,0.20%,11.20%,2.10%
CLEANERS - UTENSIL,NON-REFINED OILS   (9/93),9.10%,1.70%,0.20%,13.80%,2.60%
CLEANERS - UTENSIL,PACKAGED RICE (1/95),9.10%,1.20%,0.20%,18.70%,2.40%
CLEANERS - UTENSIL,PRICKLY HEAT POWDER,9.10%,0.80%,0.20%,25.00%,2.20%
CLEANERS - UTENSIL,SOAP CAKES/BARS,9.10%,0.80%,0.20%,32.00%,2.70%
CLEANERS - UTENSIL,SUGAR SUBSTITUTE (11/05),9.10%,0.40%,0.20%,35.70%,1.70%
CLEANERS - UTENSIL,VANASPATI CONS PACK (8/94),9.10%,1.00%,0.20%,15.60%,1.70%
COCONUT OIL PKTYP (08/02),COFFEE,4.20%,2.50%,0.20%,8.70%,5.10%
COCONUT OIL PKTYP (08/02),CONFECTIONERY - TOFFEE/HBC,4.20%,4.20%,0.20%,4.80%,4.80%
COCONUT OIL PKTYP (08/02),HAIR DYES     (1/76),4.20%,3.00%,0.20%,6.30%,4.40%
COCONUT OIL PKTYP (08/02),LIQUID TOILET SOAPS  (8/93),4.20%,2.30%,0.20%,10.30%,5.50%
COCONUT OIL PKTYP (08/02),MOSQUITO REPELLANTS CTG (8/93),4.20%,1.90%,0.20%,11.70%,5.10%
COCONUT OIL PKTYP (08/02),PRICKLY HEAT POWDER,4.20%,0.80%,0.20%,21.10%,4.00%
COCONUT OIL PKTYP (08/02),SCOURING PADS/SCRUBS,4.20%,1.70%,0.20%,10.40%,4.00%
COCONUT OIL PKTYP (08/02),TOOTH BRUSH   (7/93),4.20%,1.60%,0.20%,12.70%,4.80%
COFFEE,KETCHUPS/SAUCES,2.50%,5.00%,0.20%,4.70%,9.40%
COFFEE,LIQUID TOILET SOAPS  (8/93),2.50%,2.30%,0.20%,6.90%,6.30%
COFFEE,MILK POWDERS,2.50%,1.70%,0.20%,13.90%,9.40%
COFFEE,PRE-POST WASH PRODUCTS,2.50%,3.30%,0.20%,6.50%,8.70%
COFFEE,SHAMPOO - BY SEGMENTS,2.50%,4.30%,0.20%,5.40%,9.40%
COFFEE,SQSH CRDLS & SFT DRNK-CONVERTD,2.50%,1.90%,0.20%,8.30%,6.30%
CONFECTIONERY - ECLAIRS,PACKAGED TEA,1.10%,13.30%,0.20%,1.40%,16.90%
CONFECTIONERY - ECLAIRS,REFINED EDIBLE OILS-ALL PACKS,1.10%,12.40%,0.20%,1.30%,14.10%
CONFECTIONERY - ECLAIRS,SALTY SNACKS (2/97),1.10%,20.10%,0.20%,1.20%,21.10%
CONFECTIONERY - ECLAIRS,SPICES (03/04),1.10%,15.40%,0.20%,1.30%,18.30%
CONFECTIONERY - ECLAIRS,VERMICELLI & NOODLE,1.10%,17.20%,0.20%,1.30%,19.70%
CONFECTIONERY - ECLAIRS,WASHING POWDERS/LIQUIDS,1.10%,14.40%,0.20%,1.40%,18.30%
CONFECTIONERY - LOLLIPOP/FMR,SALTY SNACKS (2/97),0.70%,20.10%,0.20%,1.00%,29.60%
CONFECTIONERY - TOFFEE/HBC,DETERGENT CAKES/BARS,4.20%,4.90%,0.20%,4.80%,5.60%
CONFECTIONERY - TOFFEE/HBC,HAIR DYES     (1/76),4.20%,3.00%,0.20%,5.20%,3.70%
CONFECTIONERY - TOFFEE/HBC,HAIR OILS PKTP(8/02),4.20%,3.00%,0.20%,7.80%,5.60%
CONFECTIONERY - TOFFEE/HBC,HOME INSECTICIDES CTG  (8/93),4.20%,1.80%,0.20%,8.70%,3.70%
CONFECTIONERY - TOFFEE/HBC,LIQUID TOILET SOAPS  (8/93),4.20%,2.30%,0.20%,7.50%,4.10%
CONFECTIONERY - TOFFEE/HBC,PACKAGED PURE GHEE,4.20%,4.90%,0.20%,4.80%,5.60%
CONFECTIONERY - TOFFEE/HBC,PRE-POST WASH PRODUCTS,4.20%,3.30%,0.20%,6.10%,4.80%
CONFECTIONERY - TOFFEE/HBC,READY TO EAT,4.20%,3.90%,0.20%,4.80%,4.50%
CONFECTIONERY - TOFFEE/HBC,SKIN CREAMS,4.20%,4.00%,0.20%,5.10%,4.80%
CONFECTIONERY - TOTAL GUM,SALTY SNACKS (2/97),1.10%,20.10%,0.20%,1.10%,19.40%
DETERGENT CAKES/BARS,HAIR OILS PKTP(8/02),4.90%,3.00%,0.20%,6.20%,3.80%
DETERGENT CAKES/BARS,HOME INSECTICIDES CTG  (8/93),4.90%,1.80%,0.20%,8.70%,3.20%
DETERGENT CAKES/BARS,LIQUID TOILET SOAPS  (8/93),4.90%,2.30%,0.20%,10.30%,4.80%
DETERGENT CAKES/BARS,MILK POWDERS,4.90%,1.70%,0.20%,11.10%,3.80%
DETERGENT CAKES/BARS,MOSQUITO REPELLANTS CTG (8/93),4.90%,1.90%,0.20%,10.80%,4.20%
DETERGENT CAKES/BARS,READY TO EAT,4.90%,3.90%,0.20%,5.60%,4.50%
DETERGENT CAKES/BARS,SCOURING PADS/SCRUBS,4.90%,1.70%,0.20%,13.20%,4.50%
