ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
CHOCOLATE,CLEANERS - UTENSIL,18.00%,9.10%,1.70%,18.40%,9.30%
CLEANERS - FLOOR,WASHING POWDERS/LIQUIDS,4.20%,14.40%,1.70%,12.10%,41.30%
PACKAGED ATTA (1/95),TOILET SOAPS (04/00),8.70%,11.80%,1.70%,13.90%,19.00%
BEVERAGES,BISCUITS - CORE & NON CORE,2.90%,47.50%,1.60%,3.30%,54.60%
BISCUITS - CORE & NON CORE,HAIR DYES     (1/76),47.50%,3.00%,1.60%,55.00%,3.40%
BUTTER MARGR  (4/94),CHOCOLATE,7.80%,18.00%,1.60%,8.70%,20.00%
CHOCOLATE,TOOTH PASTES,18.00%,9.10%,1.60%,17.40%,8.80%
PACKAGED ATTA (1/95),VERMICELLI & NOODLE,8.70%,17.20%,1.60%,9.40%,18.60%
ALL IODISED SALT,VERMICELLI & NOODLE,6.80%,17.20%,1.50%,8.60%,21.70%
BISCUITS - CORE & NON CORE,HAIR OILS PKTP(8/02),47.50%,3.00%,1.50%,49.70%,3.10%
COCONUT OIL PKTYP (08/02),WASHING POWDERS/LIQUIDS,4.20%,14.40%,1.50%,10.70%,36.30%
PACKAGED ATTA (1/95),TOOTH PASTES,8.70%,9.10%,1.50%,16.40%,17.20%
BISCUITS - CORE & NON CORE,COFFEE,47.50%,2.50%,1.40%,55.60%,2.90%
BISCUITS - CORE & NON CORE,LIQUID TOILET SOAPS  (8/93),47.50%,2.30%,1.40%,63.70%,3.10%
BUTTER MARGR  (4/94),REFINED EDIBLE OILS-ALL PACKS,7.80%,12.40%,1.40%,11.70%,18.60%
CHOCOLATE,PACKAGED ATTA (1/95),18.00%,8.70%,1.40%,16.60%,8.10%
COCONUT OIL PKTYP (08/02),TOILET SOAPS (04/00),4.20%,11.80%,1.40%,12.10%,33.70%
DETERGENT CAKES/BARS,PACKAGED TEA,4.90%,13.30%,1.40%,10.40%,28.40%
KETCHUPS/SAUCES,SPICES (03/04),5.00%,15.40%,1.40%,9.10%,28.00%
PACKAGED PURE GHEE,PACKAGED TEA,4.90%,13.30%,1.40%,10.80%,29.40%
SHAMPOO - BY SEGMENTS,TOILET SOAPS (04/00),4.30%,11.80%,1.40%,11.60%,31.80%
ALL IODISED SALT,CLEANERS - UTENSIL,6.80%,9.10%,1.30%,14.20%,19.00%
ALL IODISED SALT,SALTY SNACKS (2/97),6.80%,20.10%,1.30%,6.40%,19.00%
ALL IODISED SALT,TOILET SOAPS (04/00),6.80%,11.80%,1.30%,11.10%,19.20%
CLEANERS - UTENSIL,DETERGENT CAKES/BARS,9.10%,4.90%,1.30%,27.50%,14.80%
CLEANERS - UTENSIL,PACKAGED ATTA (1/95),9.10%,8.70%,1.30%,15.20%,14.60%
COCONUT OIL PKTYP (08/02),PACKAGED TEA,4.20%,13.30%,1.30%,10.00%,31.10%
DETERGENT CAKES/BARS,SPICES (03/04),4.90%,15.40%,1.30%,8.20%,25.90%
PACKAGED PURE GHEE,SPICES (03/04),4.90%,15.40%,1.30%,8.70%,27.50%
PACKAGED PURE GHEE,WASHING POWDERS/LIQUIDS,4.90%,14.40%,1.30%,8.80%,25.90%
PRE-POST WASH PRODUCTS,WASHING POWDERS/LIQUIDS,3.30%,14.40%,1.30%,8.90%,38.30%
SHAMPOO - BY SEGMENTS,WASHING POWDERS/LIQUIDS,4.30%,14.40%,1.30%,9.10%,30.30%
ALL IODISED SALT,CHOCOLATE,6.80%,18.00%,1.20%,6.40%,16.90%
ALL IODISED SALT,PACKAGED ATTA (1/95),6.80%,8.70%,1.20%,13.60%,17.40%
ALL IODISED SALT,TOOTH PASTES,6.80%,9.10%,1.20%,13.10%,17.60%
BUTTER MARGR  (4/94),CHEESE        (4/94),7.80%,3.70%,1.20%,32.50%,15.60%
BUTTER MARGR  (4/94),CLEANERS - UTENSIL,7.80%,9.10%,1.20%,13.60%,15.80%
BUTTER MARGR  (4/94),PACKAGED ATTA (1/95),7.80%,8.70%,1.20%,13.80%,15.40%
BUTTER MARGR  (4/94),TOOTH PASTES,7.80%,9.10%,1.20%,13.30%,15.60%
CLEANERS - FLOOR,PACKAGED TEA,4.20%,13.30%,1.20%,8.90%,28.00%
COCONUT OIL PKTYP (08/02),TOOTH PASTES,4.20%,9.10%,1.20%,13.70%,29.30%
DETERGENT CAKES/BARS,REFINED EDIBLE OILS-ALL PACKS,4.90%,12.40%,1.20%,9.70%,24.60%
DETERGENT CAKES/BARS,SALTY SNACKS (2/97),4.90%,20.10%,1.20%,6.20%,25.60%
DETERGENT CAKES/BARS,TOOTH PASTES,4.90%,9.10%,1.20%,13.70%,25.60%
DETERGENT CAKES/BARS,VERMICELLI & NOODLE,4.90%,17.20%,1.20%,7.00%,24.60%
KETCHUPS/SAUCES,SALTY SNACKS (2/97),5.00%,20.10%,1.20%,6.00%,23.90%
KETCHUPS/SAUCES,VERMICELLI & NOODLE,5.00%,17.20%,1.20%,7.00%,23.90%
BATTERIES,BISCUITS - CORE & NON CORE,1.90%,47.50%,1.10%,2.30%,57.30%
BISCUITS - CORE & NON CORE,MILK POWDERS,47.50%,1.70%,1.10%,63.00%,2.20%
BISCUITS - CORE & NON CORE,MOSQUITO REPELLANTS CTG (8/93),47.50%,1.90%,1.10%,59.20%,2.30%
BISCUITS - CORE & NON CORE,SQSH CRDLS & SFT DRNK-CONVERTD,47.50%,1.90%,1.10%,56.70%,2.20%
CHEESE        (4/94),SALTY SNACKS (2/97),3.70%,20.10%,1.10%,5.30%,28.30%
CHEESE        (4/94),TOILET SOAPS (04/00),3.70%,11.80%,1.10%,8.90%,28.30%
CHEESE        (4/94),WASHING POWDERS/LIQUIDS,3.70%,14.40%,1.10%,7.60%,29.20%
CHOCOLATE,CLEANERS - FLOOR,18.00%,4.20%,1.10%,25.10%,5.90%
CLEANERS - FLOOR,CLEANERS - UTENSIL,4.20%,9.10%,1.10%,12.00%,25.80%
CLEANERS - FLOOR,SPICES (03/04),4.20%,15.40%,1.10%,7.00%,25.50%
CLEANERS - FLOOR,TOILET SOAPS (04/00),4.20%,11.80%,1.10%,9.30%,26.20%
CLEANERS - UTENSIL,COCONUT OIL PKTYP (08/02),9.10%,4.20%,1.10%,26.00%,12.20%
COCONUT OIL PKTYP (08/02),REFINED EDIBLE OILS-ALL PACKS,4.20%,12.40%,1.10%,8.60%,24.90%
